"Predictor","Odds_Ratio","Lower_95_CI","Upper_95_CI","P_value"
"(Intercept)",0.705824329838937,0.654982576472448,0.760449825321237,5.84018412631e-20
"stage_sumLocalized",8.12950896525244,7.75677572232074,8.52101609980404,0
"stage_sumRegional",3.20095783738494,3.07057267677235,3.33690968975408,0
"stage_sumUnknown/unstaged",1.98062307231946,1.64823100941348,2.36695592257539,1.28967853699354e-13
"sexMale",0.644975682777758,0.62283816580688,0.667879775020097,7.49179215285232e-134
"raceOther (American Indian/AK Native, Asian/Pacific Islander)",1.51927244716105,1.40548772883157,1.64251994800762,6.99709481583053e-26
"raceUnknown",1.29557301702023,0.85305452929235,1.96160825449544,0.222544396411612
"raceWhite",0.966753862777331,0.908318896054449,1.02927809676814,0.289053727192438
"tumor_size",1.00063240546807,1.00050013123768,1.00076366925428,4.91386400431337e-21
"nodes_pos",0.984690886564328,0.984279606494773,0.98510177121439,0
